web_name,price_m,position,element_type
Aït-Nouri,6.0,DEF,2
Cucurella,6.0,DEF,2
Frimpong,6.0,DEF,2
Gabriel,6.0,DEF,2
Gvardiol,6.0,DEF,2
Kerkez,6.0,DEF,2
Robertson,6.0,DEF,2
Saliba,6.0,DEF,2
Virgil,6.0,DEF,2
Akanji,5.5,DEF,2
Aké,5.5,DEF,2
Branthwaite,5.5,DEF,2
Calafiori,5.5,DEF,2
Hall,5.5,DEF,2
J.Timber,5.5,DEF,2
James,5.5,DEF,2
Khusanov,5.5,DEF,2
Kiwior,5.5,DEF,2
Konaté,5.5,DEF,2
Lewis-Skelly,5.5,DEF,2
Matheus N.,5.5,DEF,2
Milenković,5.5,DEF,2
Mosquera,5.5,DEF,2
Murillo,5.5,DEF,2
Muñoz,5.5,DEF,2
Pedro Porro,5.5,DEF,2
Rúben,5.5,DEF,2
Schär,5.5,DEF,2
Stones,5.5,DEF,2
Tarkowski,5.5,DEF,2
White,5.5,DEF,2
Aina,5.0,DEF,2
Botman,5.0,DEF,2
Bradley,5.0,DEF,2
Burn,5.0,DEF,2
Chalobah,5.0,DEF,2
Collins,5.0,DEF,2
Colwill,5.0,DEF,2
De Ligt,5.0,DEF,2
Gomez,5.0,DEF,2
Gusto,5.0,DEF,2
Hato,5.0,DEF,2
Lacroix,5.0,DEF,2
Lewis,5.0,DEF,2
Lewis-Potter,5.0,DEF,2
Livramento,5.0,DEF,2
Martinez,5.0,DEF,2
Mazraoui,5.0,DEF,2
Mitchell,5.0,DEF,2
Mykolenko,5.0,DEF,2
N.Williams,5.0,DEF,2
O'Brien,5.0,DEF,2
O’Reilly,5.0,DEF,2
Robinson,5.0,DEF,2
Romero,5.0,DEF,2
Sosa,5.0,DEF,2
Trippier,5.0,DEF,2
Tsimikas,5.0,DEF,2
Vitor Reis,5.0,DEF,2
Zabarnyi,5.0,DEF,2
Zinchenko,5.0,DEF,2
Agbadou,4.5,DEF,2
Ajer,4.5,DEF,2
Andersen,4.5,DEF,2
Aznou,4.5,DEF,2
B.Badiashile,4.5,DEF,2
Ballard,4.5,DEF,2
Bassey,4.5,DEF,2
Bogle,4.5,DEF,2
Boscagli,4.5,DEF,2
Cash,4.5,DEF,2
Castagne,4.5,DEF,2
Coleman,4.5,DEF,2
Coppola,4.5,DEF,2
D.Leon,4.5,DEF,2
Dalot,4.5,DEF,2
Danso,4.5,DEF,2
David Carmo,4.5,DEF,2
Davies,4.5,DEF,2
De Cuyper,4.5,DEF,2
Digne,4.5,DEF,2
Diop,4.5,DEF,2
Diouf,4.5,DEF,2
Doherty,4.5,DEF,2
Dorgu,4.5,DEF,2
Dragusin,4.5,DEF,2
Dunk,4.5,DEF,2
Emerson,4.5,DEF,2
Estupiñan,4.5,DEF,2
F.Kadıoğlu,4.5,DEF,2
Fofana,4.5,DEF,2
Guéhi,4.5,DEF,2
H.Bueno,4.5,DEF,2
Henry,4.5,DEF,2
Hume,4.5,DEF,2
Igor,4.5,DEF,2
J.Cuenca,4.5,DEF,2
Jair Cunha,4.5,DEF,2
Kayode,4.5,DEF,2
Keane,4.5,DEF,2
Kilman,4.5,DEF,2
Konsa,4.5,DEF,2
Krafth,4.5,DEF,2
Lamptey,4.5,DEF,2
Lascelles,4.5,DEF,2
M.Sarr,4.5,DEF,2
Maatsen,4.5,DEF,2
Maguire,4.5,DEF,2
Mavropanos,4.5,DEF,2
Mings,4.5,DEF,2
Morato,4.5,DEF,2
Mosquera,4.5,DEF,2
N.Aguerd,4.5,DEF,2
O.Richards,4.5,DEF,2
Patterson,4.5,DEF,2
Pau,4.5,DEF,2
Pinnock,4.5,DEF,2
R.Gomes,4.5,DEF,2
Richards,4.5,DEF,2
Roberts,4.5,DEF,2
Roerslev,4.5,DEF,2
S.Bueno,4.5,DEF,2
Scarles,4.5,DEF,2
Senesi,4.5,DEF,2
Shaw,4.5,DEF,2
Smith,4.5,DEF,2
Spence,4.5,DEF,2
Struijk,4.5,DEF,2
Tete,4.5,DEF,2
Todibo,4.5,DEF,2
Tosin,4.5,DEF,2
Toti,4.5,DEF,2
Truffert,4.5,DEF,2
Udogie,4.5,DEF,2
Van de Ven,4.5,DEF,2
Van den Berg,4.5,DEF,2
Van Hecke,4.5,DEF,2
Veltman,4.5,DEF,2
Walker,4.5,DEF,2
Walker-Peters,4.5,DEF,2
Wan-Bissaka,4.5,DEF,2
Webster,4.5,DEF,2
Yoro,4.5,DEF,2
A.García,4.0,DEF,2
A.Murphy,4.0,DEF,2
Abbott,4.0,DEF,2
Acheampong,4.0,DEF,2
Akinmboni,4.0,DEF,2
Alese,4.0,DEF,2
Alex Moreno,4.0,DEF,2
Amass,4.0,DEF,2
Amissah,4.0,DEF,2
Anderson,4.0,DEF,2
Anselmino,4.0,DEF,2
Arthur,4.0,DEF,2
Ashby,4.0,DEF,2
Bevan,4.0,DEF,2
Bijol,4.0,DEF,2
Bogarde,4.0,DEF,2
Boly,4.0,DEF,2
Bornauw,4.0,DEF,2
Byram,4.0,DEF,2
Casey,4.0,DEF,2
Cashin,4.0,DEF,2
Chadi Riad,4.0,DEF,2
Cirkin,4.0,DEF,2
Clarke,4.0,DEF,2
Clyne,4.0,DEF,2
Delcroix,4.0,DEF,2
Dixon,4.0,DEF,2
Dodgson,4.0,DEF,2
Ekdal,4.0,DEF,2
Estève,4.0,DEF,2
Fredrick,4.0,DEF,2
Fredricson,4.0,DEF,2
Gudmundsson,4.0,DEF,2
Hartman,4.0,DEF,2
Heaven,4.0,DEF,2
Hickey,4.0,DEF,2
Hill,4.0,DEF,2
Hjelde,4.0,DEF,2
Hoever,4.0,DEF,2
Holding,4.0,DEF,2
Huggins,4.0,DEF,2
Humphreys,4.0,DEF,2
J.Araujo,4.0,DEF,2
Ji-soo,4.0,DEF,2
Johnson,4.0,DEF,2
Jordan,4.0,DEF,2
Kacurri,4.0,DEF,2
Kporha,4.0,DEF,2
Lucas Pires,4.0,DEF,2
Malacia,4.0,DEF,2
Meghoma,4.0,DEF,2
Mepham,4.0,DEF,2
Meupiyou,4.0,DEF,2
Nallo,4.0,DEF,2
Nichols,4.0,DEF,2
O'Nien,4.0,DEF,2
Pedro Lima,4.0,DEF,2
Pembele,4.0,DEF,2
Phillips,4.0,DEF,2
Pivas,4.0,DEF,2
Pond,4.0,DEF,2
R.Williams,4.0,DEF,2
Ramsay,4.0,DEF,2
Reinildo,4.0,DEF,2
Rodon,4.0,DEF,2
Sambo,4.0,DEF,2
Schmidt,4.0,DEF,2
Seelt,4.0,DEF,2
Slater,4.0,DEF,2
Soler,4.0,DEF,2
Sonne,4.0,DEF,2
Sousa,4.0,DEF,2
Takai,4.0,DEF,2
Targett,4.0,DEF,2
Tasker,4.0,DEF,2
Tuanzebe,4.0,DEF,2
Vuskovic,4.0,DEF,2
Welch,4.0,DEF,2
Worrall,4.0,DEF,2
Yasin,4.0,DEF,2
Haaland,14.0,FWD,4
Isak,10.5,FWD,4
Gyökeres,9.0,FWD,4
Watkins,9.0,FWD,4
Ekitiké,8.5,FWD,4
Bowen,8.0,FWD,4
Havertz,7.5,FWD,4
João Pedro,7.5,FWD,4
Mateta,7.5,FWD,4
Solanke,7.5,FWD,4
Wissa,7.5,FWD,4
Wood,7.5,FWD,4
Evanilson,7.0,FWD,4
Darwin,6.5,FWD,4
Delap,6.5,FWD,4
G.Jesus,6.5,FWD,4
Højlund,6.5,FWD,4
N.Jackson,6.5,FWD,4
Raúl,6.5,FWD,4
Richarlison,6.5,FWD,4
Strand Larsen,6.5,FWD,4
Welbeck,6.5,FWD,4
Barry,6.0,FWD,4
Füllkrug,6.0,FWD,4
Igor Jesus,6.0,FWD,4
Thiago,6.0,FWD,4
Wilson,6.0,FWD,4
Zirkzee,6.0,FWD,4
Awoniyi,5.5,FWD,4
Beto,5.5,FWD,4
Enes Ünal,5.5,FWD,4
Ferguson,5.5,FWD,4
Flemming,5.5,FWD,4
Isidor,5.5,FWD,4
Mayenda,5.5,FWD,4
Muniz,5.5,FWD,4
Nketiah,5.5,FWD,4
Osula,5.5,FWD,4
Piroe,5.5,FWD,4
Tzimas,5.5,FWD,4
Amdouni,5.0,FWD,4
Bamford,5.0,FWD,4
Foster,5.0,FWD,4
Fábio Silva,5.0,FWD,4
Kalajdžić,5.0,FWD,4
Kostoulas,5.0,FWD,4
Mateo Joseph,5.0,FWD,4
Nmecha,5.0,FWD,4
Y.Chermiti,5.0,FWD,4
Édouard,5.0,FWD,4
Abdullahi,4.5,FWD,4
Adu-Adjei,4.5,FWD,4
Barnes,4.5,FWD,4
Chiwome,4.5,FWD,4
Danns,4.5,FWD,4
Fraser,4.5,FWD,4
Kroupi.Jr,4.5,FWD,4
Lankshear,4.5,FWD,4
Luís Hemir,4.5,FWD,4
Marc Guiu,4.5,FWD,4
Marsh,4.5,FWD,4
Marshall,4.5,FWD,4
Morgan,4.5,FWD,4
Neave,4.5,FWD,4
Obafemi,4.5,FWD,4
Obi,4.5,FWD,4
Redmond,4.5,FWD,4
Rusyn,4.5,FWD,4
Scarlett,4.5,FWD,4
Sherif,4.5,FWD,4
Wheatley,4.5,FWD,4
A.Becker,5.5,GK,1
Ederson M.,5.5,GK,1
Pickford,5.5,GK,1
Raya,5.5,GK,1
Bayindir,5.0,GK,1
Henderson,5.0,GK,1
Leno,5.0,GK,1
Martinez,5.0,GK,1
Onana,5.0,GK,1
Ortega Moreno,5.0,GK,1
Pope,5.0,GK,1
Ramsdale,5.0,GK,1
Sels,5.0,GK,1
Sánchez,5.0,GK,1
Trafford,5.0,GK,1
Vicario,5.0,GK,1
Areola,4.5,GK,1
Arrizabalaga,4.5,GK,1
Johnstone,4.5,GK,1
José Sá,4.5,GK,1
Jörgensen,4.5,GK,1
Kelleher,4.5,GK,1
M.Bizot,4.5,GK,1
Mamardashvili,4.5,GK,1
Meslier,4.5,GK,1
Neto,4.5,GK,1
Patterson,4.5,GK,1
Perri,4.5,GK,1
Petrović,4.5,GK,1
Roefs,4.5,GK,1
Steele,4.5,GK,1
Travers,4.5,GK,1
Verbruggen,4.5,GK,1
Weiss,4.5,GK,1
Austin,4.0,GK,1
Balcombe,4.0,GK,1
Benda,4.0,GK,1
Benitez,4.0,GK,1
Bentley,4.0,GK,1
Bettinelli,4.0,GK,1
C.Miguel,4.0,GK,1
Cairns,4.0,GK,1
Cox,4.0,GK,1
Darlow,4.0,GK,1
Dennis,4.0,GK,1
Dúbravka,4.0,GK,1
Eyestone,4.0,GK,1
Foderingham,4.0,GK,1
Gauci,4.0,GK,1
Gillespie,4.0,GK,1
Green,4.0,GK,1
Gunn,4.0,GK,1
Harrison,4.0,GK,1
Heaton,4.0,GK,1
Hegyi,4.0,GK,1
Hein,4.0,GK,1
Hladký,4.0,GK,1
King,4.0,GK,1
Kinsky,4.0,GK,1
Lecomte,4.0,GK,1
Marschall,4.0,GK,1
Matthews,4.0,GK,1
McGill,4.0,GK,1
McKenna,4.0,GK,1
Mee,4.0,GK,1
Moore,4.0,GK,1
Nna Noukeu,4.0,GK,1
Odysseas,4.0,GK,1
Paulsen,4.0,GK,1
Penders,4.0,GK,1
Pécsi,4.0,GK,1
Rushworth,4.0,GK,1
Scherpen,4.0,GK,1
Setford,4.0,GK,1
Slonina,4.0,GK,1
Turner,4.0,GK,1
Tyrer,4.0,GK,1
Valdimarsson,4.0,GK,1
Woodman,4.0,GK,1
M.Salah,14.5,MID,3
Palmer,10.5,MID,3
Saka,10.0,MID,3
B.Fernandes,9.0,MID,3
Marmoush,8.5,MID,3
Son,8.5,MID,3
Wirtz,8.5,MID,3
Cunha,8.0,MID,3
Foden,8.0,MID,3
Luis Díaz,8.0,MID,3
Mbeumo,8.0,MID,3
Ødegaard,8.0,MID,3
Eze,7.5,MID,3
Gakpo,7.5,MID,3
Gibbs-White,7.5,MID,3
Gordon,7.5,MID,3
Elanga,7.0,MID,3
Johnson,7.0,MID,3
Kluivert,7.0,MID,3
Maddison,7.0,MID,3
Madueke,7.0,MID,3
Martinelli,7.0,MID,3
Neto,7.0,MID,3
Rashford,7.0,MID,3
Rogers,7.0,MID,3
Savinho,7.0,MID,3
Schade,7.0,MID,3
Semenyo,7.0,MID,3
Trossard,7.0,MID,3
Amad,6.5,MID,3
Barnes,6.5,MID,3
Bernardo,6.5,MID,3
Bruno G.,6.5,MID,3
Cherki,6.5,MID,3
Chiesa,6.5,MID,3
Doku,6.5,MID,3
Enzo,6.5,MID,3
Estêvão,6.5,MID,3
Garnacho,6.5,MID,3
Gittens,6.5,MID,3
Grealish,6.5,MID,3
Guessand,6.5,MID,3
Gündoğan,6.5,MID,3
Iwobi,6.5,MID,3
J.Murphy,6.5,MID,3
Kudus,6.5,MID,3
Kulusevski,6.5,MID,3
Mac Allister,6.5,MID,3
Mitoma,6.5,MID,3
Ndiaye,6.5,MID,3
Rice,6.5,MID,3
Rodrigo,6.5,MID,3
Sarr,6.5,MID,3
Szoboszlai,6.5,MID,3
Tel,6.5,MID,3
Antony,6.0,MID,3
Damsgaard,6.0,MID,3
Georginio,6.0,MID,3
Hee Chan,6.0,MID,3
Hudson-Odoi,6.0,MID,3
Joelinton,6.0,MID,3
Kovačić,6.0,MID,3
L.Paquetá,6.0,MID,3
March,6.0,MID,3
McNeil,6.0,MID,3
Merino,6.0,MID,3
Minteh,6.0,MID,3
Mount,6.0,MID,3
N.Gonzalez,6.0,MID,3
Ndoye,6.0,MID,3
Nkunku,6.0,MID,3
O.Dango,6.0,MID,3
Sancho,6.0,MID,3
Smith Rowe,6.0,MID,3
Souček,6.0,MID,3
Tielemans,6.0,MID,3
Ward-Prowse,6.0,MID,3
Aaronson,5.5,MID,3
Adama,5.5,MID,3
Adingra,5.5,MID,3
Alcaraz,5.5,MID,3
Anderson,5.5,MID,3
Andreas,5.5,MID,3
André,5.5,MID,3
Anthony,5.5,MID,3
Bailey,5.5,MID,3
Bellegarde,5.5,MID,3
Benson,5.5,MID,3
Bentancur,5.5,MID,3
Bergvall,5.5,MID,3
Bissouma,5.5,MID,3
Bobb,5.5,MID,3
Bruun Larsen,5.5,MID,3
Buendía,5.5,MID,3
C.Jones,5.5,MID,3
Caicedo,5.5,MID,3
Casemiro,5.5,MID,3
Diarra,5.5,MID,3
Echeverri,5.5,MID,3
Elliott,5.5,MID,3
Enciso,5.5,MID,3
Fer López,5.5,MID,3
Fábio Vieira,5.5,MID,3
Gana,5.5,MID,3
Gnonto,5.5,MID,3
Gomes,5.5,MID,3
Gravenberch,5.5,MID,3
Gruda,5.5,MID,3
Guedes,5.5,MID,3
Harrison,5.5,MID,3
Hinshelwood,5.5,MID,3
Iling Jr,5.5,MID,3
J.Arias,5.5,MID,3
J.Palhinha,5.5,MID,3
J.Ramsey,5.5,MID,3
James,5.5,MID,3
Jota,5.5,MID,3
Malen,5.5,MID,3
McAtee,5.5,MID,3
McGinn,5.5,MID,3
Milambo,5.5,MID,3
Munetsi,5.5,MID,3
Nwaneri,5.5,MID,3
Nørgaard,5.5,MID,3
O'Riley,5.5,MID,3
Odobert,5.5,MID,3
Reijnders,5.5,MID,3
Roberts,5.5,MID,3
Sessegnon,5.5,MID,3
Sima,5.5,MID,3
Solomon,5.5,MID,3
Summerville,5.5,MID,3
Tavernier,5.5,MID,3
Tonali,5.5,MID,3
Wilson,5.5,MID,3
Zubimendi,5.5,MID,3
Adams,5.0,MID,3
Aleksić,5.0,MID,3
Ampadu,5.0,MID,3
Antoñito C.,5.0,MID,3
Ayari,5.0,MID,3
B.Traore,5.0,MID,3
Baleba,5.0,MID,3
Barkley,5.0,MID,3
Barrenechea,5.0,MID,3
Berge,5.0,MID,3
Boateng,5.0,MID,3
Brooks,5.0,MID,3
Bryan,5.0,MID,3
Buonanotte,5.0,MID,3
Cairney,5.0,MID,3
Carvalho,5.0,MID,3
Christie,5.0,MID,3
Churlinov,5.0,MID,3
Cook,5.0,MID,3
Cornet,5.0,MID,3
Cullen,5.0,MID,3
Dewsbury-Hall,5.0,MID,3
Doak,5.0,MID,3
Dobbin,5.0,MID,3
Dominguez,5.0,MID,3
Doucouré,5.0,MID,3
E.Le Fée,5.0,MID,3
Edwards,5.0,MID,3
Endo,5.0,MID,3
Esse,5.0,MID,3
G.Rodriguez,5.0,MID,3
Garner,5.0,MID,3
George,5.0,MID,3
Gomez,5.0,MID,3
Gray,5.0,MID,3
Greenwood,5.0,MID,3
Gruev,5.0,MID,3
Hannibal,5.0,MID,3
Henderson,5.0,MID,3
Hughes,5.0,MID,3
Iroegbunam,5.0,MID,3
Janelt,5.0,MID,3
Jensen,5.0,MID,3
Kamada,5.0,MID,3
Kamara,5.0,MID,3
Koleosho,5.0,MID,3
L.Guilherme,5.0,MID,3
Laurent,5.0,MID,3
Lavia,5.0,MID,3
Lerma,5.0,MID,3
Longstaff,5.0,MID,3
Lukić,5.0,MID,3
Mainoo,5.0,MID,3
Milner,5.0,MID,3
Moore,5.0,MID,3
Mudryk,5.0,MID,3
Mundle,5.0,MID,3
Neil,5.0,MID,3
Nelson,5.0,MID,3
Nunes,5.0,MID,3
Nypan,5.0,MID,3
O'Brien,5.0,MID,3
Onana,5.0,MID,3
Onyeka,5.0,MID,3
P.M.Sarr,5.0,MID,3
Philip,5.0,MID,3
Phillips,5.0,MID,3
Poveda,5.0,MID,3
Ramazani,5.0,MID,3
Rigg,5.0,MID,3
Sadiki,5.0,MID,3
Sangaré,5.0,MID,3
Sarmiento,5.0,MID,3
Scott,5.0,MID,3
Sinisterra,5.0,MID,3
Stach,5.0,MID,3
Talbi,5.0,MID,3
Tanaka,5.0,MID,3
Tchaouna,5.0,MID,3
Ugarte,5.0,MID,3
Ugochukwu,5.0,MID,3
Watson,5.0,MID,3
Wharton,5.0,MID,3
Wieffer,5.0,MID,3
Willock,5.0,MID,3
Xhaka,5.0,MID,3
Yalcouye,5.0,MID,3
Yarmoliuk,5.0,MID,3
Yates,5.0,MID,3
Álvarez,5.0,MID,3
A.Ramsey,4.5,MID,3
Adewumi,4.5,MID,3
Agbinone,4.5,MID,3
Ahamada,4.5,MID,3
Andrey Santos,4.5,MID,3
Armstrong,4.5,MID,3
Ba,4.5,MID,3
Bajcetic,4.5,MID,3
Banel,4.5,MID,3
Bates,4.5,MID,3
Broggio,4.5,MID,3
Browne,4.5,MID,3
Chirewa,4.5,MID,3
Collyer,4.5,MID,3
Crew,4.5,MID,3
D.Essugo,4.5,MID,3
Da Silva Moreira,4.5,MID,3
Dendoncker,4.5,MID,3
Devenny,4.5,MID,3
Donovan,4.5,MID,3
Earthy,4.5,MID,3
Ebere,4.5,MID,3
Ebiowei,4.5,MID,3
Edozie,4.5,MID,3
Ekwah,4.5,MID,3
Faivre,4.5,MID,3
Fitzgerald,4.5,MID,3
Gelhardt,4.5,MID,3
Godo,4.5,MID,3
Gonzalez,4.5,MID,3
Gyabi,4.5,MID,3
H.Jones,4.5,MID,3
H.Traorè,4.5,MID,3
Harris,4.5,MID,3
Hayden,4.5,MID,3
Heath,4.5,MID,3
Hodge,4.5,MID,3
Irving,4.5,MID,3
J.Fletcher,4.5,MID,3
J.Rak-Sakyi,4.5,MID,3
Jimoh-Aloba,4.5,MID,3
Kabia,4.5,MID,3
King,4.5,MID,3
Knight,4.5,MID,3
Konak,4.5,MID,3
Kone,4.5,MID,3
Kuol,4.5,MID,3
L.Miley,4.5,MID,3
M.França,4.5,MID,3
Maghoma,4.5,MID,3
Matete,4.5,MID,3
Mazilu,4.5,MID,3
McConnell,4.5,MID,3
Metcalfe,4.5,MID,3
Min-hyeok,4.5,MID,3
Moorhouse,4.5,MID,3
Moran,4.5,MID,3
Morton,4.5,MID,3
Nyoni,4.5,MID,3
Olusesi,4.5,MID,3
Orford,4.5,MID,3
Ozoh,4.5,MID,3
Paez,4.5,MID,3
Peart-Harris,4.5,MID,3
Potts,4.5,MID,3
Reed,4.5,MID,3
Rodney,4.5,MID,3
Sadi,4.5,MID,3
Sambi,4.5,MID,3
Silcott-Duberry,4.5,MID,3
Stamenic,4.5,MID,3
Trevitt,4.5,MID,3
Triantis,4.5,MID,3
Trésor,4.5,MID,3
Umeh,4.5,MID,3
White,4.5,MID,3
Winterburn,4.5,MID,3
Young,4.5,MID,3
